일자,브랜드,유형,제목,언론사,링크,요약
2026-07-03,메가커피,기타 이슈,"'출점 한계' 직면한 K-저가커피, 내수 경쟁 넘어 해외로 영토 확장 '시동...",todaykorea.co.kr,https://www.todaykorea.co.kr/news/articleView.html?idxno=403316,또한 지난해 일본 현지 법인을 설립한 메가커피는 일본과 미국 시장 동시 진출을 검토하고 있다. 이는 몽골 울란바토르에서의 매장 운영 경험을 통해 진출 국가를 확대한 구상으로 풀이된다. 이를 두고 업계에서는 국내...
2026-07-03,메가커피,기타 이슈,"[르포] ‘호찌민’으로 이름 바꾼지 반세기, ‘사이공’은 여전히 살아...",chosun.com,https://www.chosun.com/international/international_general/2026/07/03/HYL6IH2IQFB6PLJ6B5EGLSAC4A/?utm_source=naver&utm_medium=referral&utm_campaign=naver-news,"또럼 서기장은 이날 연설에서 6대 과제를 제시하며 호찌민시가 새로운 발전 시대를 주도하는 메가시티로... 동시에 시내 상점가에서 판매하는 맥주와 커피, 호텔 간판에서는 여전히 사이공이라는 이름이 손님들을..."
2026-07-03,메가커피,신제품 출시,"KT, 양자암호통신 신기술 공개… 5G·LTE 통합요금제도 출시",biztribune.co.kr,http://www.biztribune.co.kr/news/articleView.html?idxno=355486,"KT는 출시를 기념해 메가커피·N페이 포인트·신세계 상품권 등을 추첨 제공하는 퀴즈 이벤트도 진행한다. 통합요금제 출시에 따라 7월 1일부터 기존 5G·LTE 요금제 신규 가입은 중단되며, 기존 가입 고객은 현재..."
2026-07-03,메가커피,굿즈/MD,무지개는 멀리 있지 않았다- 안산중앙도서관,newsverse.kr,https://www.newsverse.kr/news/articleView.html?idxno=10840,"카페의 책을 보며 커피를 마시는 나만의 망중한을 즐겼다. 이름 하나가 공간을 만든다 친구와 맛난 솥밥... 유명아티스트, 메가인플루언서, 글로벌 유통 등과의 마케팅 협업을 해왔다. 기업 퇴임후엔 전문직 공무원으로..."
2026-07-03,컴포즈커피,굿즈/MD,"BTS 뷔부터 박지훈·이수지까지…유통업계, 광고모델 공식 바꿨다",digitalchosun.dizzo.com,http://digitalchosun.dizzo.com/site/data/html_dir/2026/07/03/2026070380147.html,"커피 브랜드 컴포즈커피도 2024년부터 뷔와의 협업을 이어가고 있다. 최근에는 디카페인 캠페인 ‘그날 밤, 우리의 디카페인’을 공개했으며, 광고 영상은 공개 직후 높은 조회수를 기록하며 해외 팬덤의 관심을 모았다...."
2026-07-03,컴포즈커피,기타 이슈,"하이트진로, 소주 '진로' 홍보대사로 방탄소년단 멤버 '뷔' 선정",businesspost.co.kr,https://www.businesspost.co.kr/BP?command=article_view&num=441553,"5월 미국의 음악 시상식 제52회 아메리칸 뮤직 어워드에서 '올해의 가수상'을 수상했다. 뷔씨는 현재 파라다이스시티와 티르티르, 스노우피크, 코카콜라, 컴포즈커피, 까르띠에, 셀린느 등 브랜드의 홍보대사를 맡고 있다."
2026-07-03,할리스,혜택/프로모션/이벤트,"결혼정보회사 퍼플스, 7월 'Tropical July' 이벤트 진행… 미혼남녀 대상...",hortitimes.com,http://www.hortitimes.com/news/articleView.html?idxno=34243,"경품은 총 3가지로, 1명에게 '로얄 코펜하겐 한식기 세트(4P)', 3명에게 '까르띠에 헤드밴드 블루밍 팬더', 30명에게 '할리스 아메리카노 기프티콘'이 각각 제공된다. 할리스 기프티콘은 방문 상담 시에만 해당되는..."
2026-07-03,폴바셋,기타 이슈,"[포토] 매일 폴바셋, 강남에 노하우 집약한 전략매장 오픈",shinailbo.co.kr,https://www.shinailbo.co.kr/news/articleView.html?idxno=5037250,매일유업의 관계자 엠즈씨드가 운영하는 커피 브랜드 폴바셋이 신논현역 인근에 특화 매장을 3일 오픈했다. 이날 문을 연 폴바셋 강남점은 브랜드 강점을 집약한 전략 매장으로서 노하우를 담은 커피와 디저트 등을 한...
2026-07-03,이디야,혜택/프로모션/이벤트,[iM뱅크] 전국 무더위쉼터 운영 / KEIT와 사회공헌 / 생활밀착형 '착착통...,webeconomy.co.kr,https://www.webeconomy.co.kr/news/articleView.html?idxno=2221782,"급여이체 고객에게는 300만원 한도 내 연 2.0%포인트 우대금리를 제공하며, 신규 고객은 평균잔액을 유지하면 무신사·올리브영·CGV·이디야커피·쿠팡이츠 등에서 사용할 수 있는 쿠폰을 월 최대 2만원까지 받을 수..."
2026-07-03,이디야,혜택/프로모션/이벤트,"르노코리아, 여름철 고객 잡기 나선다…방문 시승·openR 게임 대회 동시...",kr.aving.net,https://kr.aving.net/news/articleView.html?idxno=1812198,"게임에 참여한 전원에게는 ▲이디야 커피 쿠폰이 지급되며, 본선 진출자 30명에게는 ▲the Originals 보스턴백이 제공된다. 또한 결승에 진출한 12명에게는 ▲닌텐도 스위치 2를 증정하며, 최종 대회 우승자 1명에게는..."
2026-07-03,이디야,혜택/프로모션/이벤트,"[은행브리핑] KB국민은행, 전주서 상생형 '오픈 스토어' 운영 외",seoulfn.com,https://www.seoulfn.com/news/articleView.html?idxno=632661,"신규 발급 고객에게는 카드 발급 다음 달까지 사용처와 결제 금액에 관계없이 한 차례 이상 결제하면 이디야커피 쿠폰도 제공한다. 우리은행, 데이터 기반 영업·내부통제 강화 조직개편 우리은행은 데이터 기반 영업..."
2026-07-03,이디야,혜택/프로모션/이벤트,"'찾아가는 시승-필랑트에서 게임'..르노코리아, 여름맞이 마케팅 본격화",fnnews.com,http://www.fnnews.com/news/202607031604480450,최종 우승자에겐 '필랑트 1년 무료 시승권'이 주어진다. 이디야 커피 쿠폰을 참여자 전원에게 제공하고 본선 진출자 30명에겐 'the Originals 보스턴백'을 지급한다. 결승 진출자 12명에겐 '닌텐도 스위치 2'를 지급한다.
2026-07-03,이디야,혜택/프로모션/이벤트,"르노코리아, 방문형 시승 서비스· openR 게임대회 운영...여름철 고객 ...",pinpointnews.co.kr,https://www.pinpointnews.co.kr/news/articleView.html?idxno=465397,"예선 참여자 전원에게 이디야 커피 쿠폰이 제공되며, 본선 진출자 30명에게는 the Originals 보스턴백이 주어진다. 결승 진출자 12명에게는 닌텐도 스위치 2가 제공되며, 최종 우승자 1명에게는 필랑트 1년 무료 시승권이..."
2026-07-03,이디야,혜택/프로모션/이벤트,"르노코리아, '차가옴 시승서비스' 도입…전시장 게임대회도 개최",smarttimes.co.kr,http://www.smarttimes.co.kr/news/articleView.html?idxno=46976,"참가자 전원에게는 이디야 커피 쿠폰이 제공되며 본선 진출자에게는 보스턴백, 결승 진출자에게는 닌텐도 스위치2가 지급된다. 최종 우승자에게는 필랑트 1년 무료 시승권이 제공된다. 한편 필랑트에 적용된 openR..."
2026-07-03,이디야,혜택/프로모션/이벤트,"르노코리아, 찾아가는 시승에 게임 대회까지...여름철 고객 접점 넓힌다",joongangenews.com,https://www.joongangenews.com/news/articleView.html?idxno=530371,"예선 참여자 전원에게는 이디야 커피 쿠폰이 제공되며, 본선 진출자 30명에게는 the Originals 보스턴백이 주어진다. 결승 진출자 12명에게는 닌텐도 스위치 2가 제공되고, 최종 우승자 1명에게는 필랑트 1년 무료 시승권이..."
2026-07-03,이디야,기타 이슈,[금주의 안산시] 안산사이언스밸리 공식 BI 개발… 글로벌 혁신거점 브...,joongboo.com,https://www.joongboo.com/news/articleView.html?idxno=363730402,앞서 지난해 12월 24일 시는 이디야커피 안산월피현대점에서 장애인 권익 옹호업소 '오소가게' 현판식을 개최했다. 해당 업소는 농인 고객에게 수어로 인사하고 환대하는 점주의 모습이 언론과 소셜미디어(SNS)에서 큰...
2026-07-03,이디야,혜택/프로모션/이벤트,"찾아가는 시승부터 게임 대회까지…르노코리아, 여름 맞아 고객 접점 확...",industrynews.co.kr,https://www.industrynews.co.kr/news/articleView.html?idxno=82885,"참가자 전원에게는 이디야 커피 쿠폰을 제공하며, 본선 진출자 30명에게는 the Originals 보스턴백, 결승 진출자 12명에게는 닌텐도 스위치 2를 증정한다. 최종 우승자에게는 '필랑트 1년 무료 시승권'이 제공된다."
2026-07-03,이디야,혜택/프로모션/이벤트,"르노코리아, 여름맞이 찾아가는 시승 서비스 운영… ""전시장선 오픈알 ...",digitalchosun.dizzo.com,http://digitalchosun.dizzo.com/site/data/html_dir/2026/07/03/2026070380095.html,"참가자 전원에게는 이디야 커피 쿠폰이 제공되며, 본선 진출자 30명에게는 더 오리지널스 보스턴백, 결승 진출자 12명에게는 닌텐도 스위치2가 증정된다. 최종 우승자에게는 필랑트 1년 무료 시승권이 제공된다. 필랑트와..."
2026-07-03,이디야,혜택/프로모션/이벤트,"르노코리아, 전국 전시장서 리듬 게임 'R:러쉬' 대회 개최…무더위 피해...",electimes.com,https://www.electimes.com/news/articleView.html?idxno=369891,"이디야 커피 쿠폰도 제공한다. 이어서 고득점자를 대상으로 18일부터 지역별 6개 전시장에서 본선을 치르고, 25일에는 서울 강남대리점에서 결승으로 이어갈 예정이다. 본선 진출 30명에는 '디 오리지날스 보스턴백'을..."
2026-07-03,이디야,혜택/프로모션/이벤트,[은행 이모저모] 국민은행·하나은행·경남은행 등,bizwnews.com,http://www.bizwnews.com/news/articleView.html?idxno=139964,또 하나 나라사랑카드 신규 발급 손님 모두에게 카드 발급 후 다음 달까지 사용처·사용금액과 무관하게 결제 이용만 해도 ▲이디야 커피 쿠폰을 제공한다. 김태한 BNK경남은행장(왼쪽 다섯번째)과 박치웅 디와이파워...
2026-07-03,이디야,혜택/프로모션/이벤트,"“전시장 안 가도 시승”…르노코리아, 찾아가는 ‘차가옴’ 운영",biz.heraldcorp.com,https://biz.heraldcorp.com/article/10797074?ref=naver,"예선 참여자 전원에게는 이디야 커피 쿠폰이 제공된다. 본선 진출자 30명에게는 ‘the Originals’ 보스턴백, 결승 진출자 12명에게는 닌텐도 스위치 2가 주어진다. 최종 우승자 1명은 필랑트 1년 무료 시승권을 받는다...."
2026-07-03,이디야,혜택/프로모션/이벤트,"차량에 탑재된 게임으로 '대회 연다'… 르노코리아, R:러쉬 토너먼트 개...",wikitree.co.kr,https://www.wikitree.co.kr/articles/1144541,"회사는 참가자 전원에게 이디야 커피 쿠폰을 지급하며, 본선 진출자 30명에게는 보스턴백, 결승 진출자 12명에게는 닌텐도 스위치 2를 증정한다. 최종 우승자 1명은 필랑트 1년 무료 시승권을 받는다. 3일부터는 고객이..."
2026-07-03,이디야,기타 이슈,"보훈부, ‘유엔참전국 미래세대 교류캠프’ 진행…13개국 144명 참여",munhwa.com,https://www.munhwa.com/article/11600022?ref=naver,"LIG D&A는 에티오피아 참전용사 후손으로 구성된 강뉴합창단을 위한 여행용 캐리어, 이디야 커피는 발대식 행사일에 음료 및 간식, 제주삼다수는 생수, 빙그레는 음료를 제공한다. 이번 캠프는 3일 오후, 경기 용인 HL..."
2026-07-03,이디야,혜택/프로모션/이벤트,"르노코리아, 7월 차가옴 시승서비스와 openR 게임 대회 운영",autodaily.co.kr,https://www.autodaily.co.kr/news/articleView.html?idxno=545448,예선 참여자 전원에게는 이디야 커피 쿠폰이 제공된다. 본선 진출자 30명에게는 the Originals 보스턴백이 주어진다. 결승 진출자 12명에게는 닌텐도 스위치 2가 제공된다. 최종 우승자 1명에게는 필랑트 1년 무료 시승권이...
2026-07-03,이디야,혜택/프로모션/이벤트,"르노코리아, 고객 찾아가는 시승 서비스…전시장선 게임대회 연다",zdnet.co.kr,https://zdnet.co.kr/view/?no=20260703092659,"참가자 전원에게는 이디야 커피 쿠폰이 제공되며, 본선 진출자 30명에게는 보스턴백, 결승 진출자 12명에게는 닌텐도 스위치 2가 증정된다. 최종 우승자에게는 필랑트 1년 무료 시승권이 제공된다. 이번 행사에..."
2026-07-03,이디야,신제품 출시,"르노코리아, 찾아가는 시승 '차가옴' 서비스 및 게임 대회 런칭",enewstoday.co.kr,http://www.enewstoday.co.kr/news/articleView.html?idxno=2445105,"예선 참가자 전원에게는 이디야 커피 쿠폰이 지급되며, 본선 진출자 30명에게는 the Originals 보스턴백', 결승 진출자 12명에게는 닌텐도 스위치 2를 증정한다. 대망의 최종 우승자 1명에게는 파격적인 혜택인 필랑트 1년..."
2026-07-03,이디야,혜택/프로모션/이벤트,"“여름, 원하는 곳으로 시승차가 온다”…르노코리아, 소비자 체험 확대",mk.co.kr,https://www.mk.co.kr/article/12089592,"예선 참여자 전원에게 이디야 커피 쿠폰을 증정하고, 본선 진출자 30명에게는 보스턴백을 제공한다. 결승 진출자 12명에게는 닌텐도 스위치 2가 주어지며, 최종 우승자 1명에게는 필랑트 1년 무료 시승권이 제공된다...."
2026-07-03,이디야,혜택/프로모션/이벤트,"르노코리아, 방문 시승 서비스 운영…전시장 게임 대회도 개최",sentv.co.kr,https://www.sentv.co.kr/article/view/sentv202607030010,참여자 전원은 이디야 커피 쿠폰을 받는다. 결승 진출자는 닌텐도 스위치2를 얻는다. 최종 우승자는 ‘필랑트 1년 무료 시승권’을 받는다. 한편 르노코리아는 고객의 안전한 차량 운행을 지원하기 위해 타이어...
2026-07-03,이디야,기타 이슈,"국가보훈부, 6·25 참전 유엔 13개국과 미래 교류 캠프 개최",news1.kr,https://www.news1.kr/diplomacy/defense-diplomacy/6216616,"또 이디야 커피는 3일 진행하는 발대식 행사의 음료와 다과, 제주삼다수는 생수, 빙그레는 음료를 후원할 예정이다. 이날 오후 경기 용인 HL 인재개발원에서 진행하는 발대식에는 강뉴합창단의 특별공연, 서경덕..."
2026-07-03,이디야,혜택/프로모션/이벤트,"르노코리아, 여름 고객 잡기 나섰다…방문 시승에 車 안 게임대회까지",wolyo.co.kr,https://www.wolyo.co.kr/news/articleView.html?idxno=314501,"예선 참여자 전원에게는 이디야 커피 쿠폰이 제공된다. 본선 진출자 30명에게는 '더 오리지널스(the Originals)' 보스턴백, 결승 진출자 12명에게는 닌텐도 스위치 2가 주어진다. 최종 우승자 1명에게는 필랑트 1년 무료..."
2026-07-03,이디야,혜택/프로모션/이벤트,"르노코리아, 방문 시승 서비스 시작…전시장 게임 대회도",economist.co.kr,https://economist.co.kr/article/view/ecn202607030001,"예선 참여자 전원에게는 이디야 커피 쿠폰이 지급된다. 본선 진출자 30명에게는 the Originals 보스턴백, 결승 진출자 12명에게는 닌텐도 스위치 2가 제공된다. 최종 우승자 1명에게는 필랑트 1년 무료 시승권이..."
2026-07-03,이디야,혜택/프로모션/이벤트,"르노코리아, '찾아가는 시승'부터 게임 대회까지…여름 맞아 고객 체험...",press9.kr,http://www.press9.kr/news/articleView.html?idxno=78846,"예선 참가자 전원에게는 이디야 커피 쿠폰을 제공하며, 본선 진출자 30명에게는 'the Originals' 보스턴백을 증정한다. 결승 진출자 12명에게는 닌텐도 스위치 2가 제공되며, 최종 우승자에게는 필랑트 1년 무료 시승권이..."
2026-07-03,이디야,혜택/프로모션/이벤트,"르노코리아, 여름맞이 맞춤형 시승·참여형 이벤트 진행",cstimes.com,https://www.cstimes.com/news/articleView.html?idxno=712114,"참여자 전원에게 이디야 커피 쿠폰을 제공하며, 본선 진출자 30명에게는 the Originals 보스턴백을 증정한다. 결승 진출자 12명에게는 닌텐도 스위치 2가 제공되며, 최종 우승자 1명에게는 필랑트 1년 무료 시승권이..."
2026-07-03,이디야,혜택/프로모션/이벤트,"르노코리아, 고객 찾아가는 시승 시작…'차가옴 시승서비스' 운영",ziksir.com,https://www.ziksir.com/news/articleView.html?idxno=138939,결승전은 7월 25일 르노 강남대리점에서 열린다. 참가 고객에게는 ▲이디야 커피 쿠폰 ▲the Originals 보스턴백 ▲닌텐도 스위치 2 ▲필랑트 1년 무료 시승권 등 단계별 경품이 제공된다.
2026-07-03,이디야,혜택/프로모션/이벤트,"르노코리아, 고객 맞춤형 방문 시승 도입…전시장선 'openR' 게임 대회 개...",businessplus.kr,https://www.businessplus.kr/news/articleView.html?idxno=113671,"예선 참가자 전원에게는 △이디야 커피 쿠폰이 지급되며, 이후 진출 단계에 따라 △디 오리지널 보스턴백(본선 30명) △닌텐도 스위치 2(결승 12명)가 제공된다. 최종 우승자 1명은 △필랑트 1년 무료 시승권을 받게..."
2026-07-03,테라로사,기타 이슈,"[단독] 테라로사, 8월 성수 상륙…400평 초대형 매장으로 브랜드 경험 강...",kukinews.com,https://www.kukinews.com/article/view/kuk202607030124,"브랜드 테라로사가 오는 8월 말 서울 성수동에 400평 규모의 신규 매장을 연다. 3일 업계에 따르면 성수점은 실내 약 300평, 야외 테라스 약 100평 등 총 400평 규모로 조성된다. 현재 전국 31개 매장을 운영 중인 테라로사의..."
2026-07-03,테라로사,신제품 출시,"현대아울렛 동대문점, ‘외국인 핫플’ 노린다",biz.heraldcorp.com,https://biz.heraldcorp.com/article/10797176?ref=naver,카페 ‘테라로사’·일본식 베이커리 ‘에키노마에’·멕시칸 푸드 전문 브랜드 ‘쿠차라’ 등 국내외 유명 F&B 브랜드 30여개도 선보인다. 지하 1층은 전체 입점 브랜드의 절반 이상을 국내 패션 브랜드로 채운 ‘K...
2026-07-03,테라로사,신제품 출시,'K콘텐츠' 입은 현대아울렛 동대문점… 10년 만에 전면 리뉴얼 추진,thepublic.kr,https://www.thepublic.kr/news/articleView.html?idxno=309919,"압구정 도슬박, 광화문 미진 등 한식 전문점과 테라로사, 에키노마에, 쿠차라 등 식음료 브랜드 30여 개가 들어선다. 지하 1층과 지상 1층, 2층은 K콘텐츠를 대폭 강화해 외국인 수요를 공략한다. 기존 라이프스타일..."
2026-07-03,테라로사,기타 이슈,"""외국인 쇼핑 성지로""… 현대아울렛 동대문점, 10년 만의 '대수술'",economytalk.kr,http://www.economytalk.kr/news/articleView.html?idxno=422401,"이곳에는 '압구정 도슬박', '광화문 미진' 등 한식 맛집을 비롯해 '테라로사', '에키노마에', '쿠차라' 등 유명 F&B 브랜드 30여 개가 들어선다. 한국인의 일상 문화를 직접 체험하려는 최신 여행 트렌드를 반영했다. 지하..."
2026-07-02,파스쿠찌,기타 이슈,"투명페트병도 돈이 된다…상주시, 무인회수기 운영 개시",dkilbo.com,https://www.dkilbo.com/news/articleView.html?idxno=547567,"적립된 포인트는 철도·지하철·버스 등 대중교통은 물론 전국 주요 편의점(CU, GS25, 세븐일레븐, 이마트24), 롯데리아, 파리바게뜨, 던킨, 배스킨라빈스, 파스쿠찌 등 다양한 제휴 가맹점에서 현금처럼 사용할 수 있다...."
2026-07-02,파스쿠찌,기타 이슈,"상주시, 투명페트병 무인회수기 본격 가동",kbmaeil.com,https://www.kbmaeil.com/article/20260702500194,"적립된 금액은 대중교통(철도, 지하철, 버스) 이용은 물론, 전국 주요 편의점(CU, GS25, 세븐일레븐, 이마트24), 롯데리아, 파리바게트, 던킨도너츠, 베스킨라벤스 파스쿠찌 등에서 현금처럼 자유롭게 사용할 수 있다...."
2026-07-02,파스쿠찌,기타 이슈,"상주시, 현금으로 돌아오는 ‘투명페트병 무인회수기’ 운영…1개당 10원...",kukinews.com,https://www.kukinews.com/article/view/kuk202607020030,"적립된 금액은 대중교통(철도·지하철·버스) 이용은 물론 전국 주요 편의점(CU, GS25, 세븐일레븐, 이마트24), 롯데리아, 파리바게뜨, 던킨, 배스킨라빈스, 파스쿠찌 등에서 현금처럼 사용할 수 있다. 1인당 하루 투입 가능..."
2026-07-02,파스쿠찌,기타 이슈,"상주시, 투명페트병 무인회수기 운영…1개당 10원 적립",asiatoday.co.kr,https://www.asiatoday.co.kr/kn/view.php?key=20260702010000662,"적립된 금액은 대중교통(철도, 지하철, 버스) 이용은 물론, 전국 주요 편의점, 롯데리아, 파리바게트, 던킨도너츠, 베스킨라벤스 파스쿠찌 등에서 현금처럼 자유롭게 사용할 수 있다. 하지만 독과점을 막고자 1인 1일당..."
2026-07-02,투썸플레이스,혜택/프로모션/이벤트,"[증권가 중계] 한국투자증권, 미래에셋증권, 삼성증권 등",bizwnews.com,http://www.bizwnews.com/news/articleView.html?idxno=139929,발행어음은 1000만원 이상 매수한 선착순 5000명에게 투썸플레이스 아메리카노 쿠폰을 지급하고 5000만원 이상 매수 고객에게는 추첨으로 신세계 모바일 상품권을 준다. ​ 미래에셋증권이 국내 주식 증거금률을...
2026-07-02,투썸플레이스,기타 이슈,"[증권가 중계] KB증권, 우리투자증권, iM증권",bizwnews.com,http://www.bizwnews.com/news/articleView.html?idxno=139870,"순매수 금액이 100만원 이상 500만원 미만이면 투썸플레이스 아메리카노 1잔, 500만원 이상이면 문화상품권 1만원권, 1000만원 이상이면 3만원권을 받을 수 있다. [비즈월드= / ]"
2026-07-02,투썸플레이스,신제품 출시,투썸의 새 성장카드 '밴루엔'…프리미엄 아이스크림 시장 공략 [ER현장],econovill.com,https://www.econovill.com/news/articleView.html?idxno=744128,투썸플레이스가 미국 뉴욕의 프리미엄 아이스크림 브랜드 '밴루엔'을 국내에 처음 선보이며 프리미엄 아이스크림 시장 공략에 나섰다. 이번 론칭은 단순한 해외 브랜드 도입을 넘어 글로벌 사업을 확대하고 멀티브랜드...
2026-07-02,투썸플레이스,신제품 출시,"[신상] 외식업계, 수박·말차·콩국수부터 K팝 협업까지 신메뉴 경쟁",smartbizn.com,https://www.smartbizn.com/news/articleView.html?idxno=147633,"투썸플레이스는 국내산 프리미엄 등급 말차를 활용한 '투썸 말차' 플랫폼 확대에 나섰다. 지난해 출시 후 3개월 만에 누적 판매량 230만 잔을 기록한 말차 음료 인기에 힘입어 '아이스 말차', '말차 라떼', '유자 레몬 말차..."
2026-07-02,투썸플레이스,혜택/프로모션/이벤트,"한국투자증권, 채권·발행어음·ELS 고객 대상 이벤트 진행",sentv.co.kr,https://www.sentv.co.kr/article/view/sentv202607020178,"대상 원화 발행어음 약정물을 합쳐 1000만원 이상 구매하면 선착순 5000명에게 투썸플레이스 아메리카노 모바일 쿠폰을 주고, 5000만원 이상 매수 고객에게는 구간별 추첨으로 신세계 모바일 상품권을 차등 지급한다. ELS..."
2026-07-02,투썸플레이스,기타 이슈,‘한컵 5500원’ 프리미엄 아이스크림 통할까…투썸까지 참전 [오늘의 E...,segye.com,https://www.segye.com/newsView/20260702505737?OutUrl=naver,"투썸플레이스, 美 아이스크림 브랜드 ‘밴루엔’과 MFA 아시아 1호점 강남역점 3일 오픈…고품질 원재료 강조 벤 밴루엔 CEO “韓 고급 미식에 기여할 수 있어 기뻐” 배스킨라빈스 독주에 도전장…프리미엄 경쟁 본격화..."
2026-07-02,투썸플레이스,기타 이슈,"[현장] ""뉴욕의 맛 그대로""…밴루엔 국내 1호점 강남역 상륙",goodkyung.com,https://www.goodkyung.com/news/articleView.html?idxno=288829,"◇투썸플레이스와 국내 진출 MF…강남권 시작 점진적 매장 확대 밴루엔은 2008년 미국 뉴욕 브루클린에서 아이스크림 트럭 한 대로 출발한 브랜드다. 공동 창업자인 벤 밴루엔, 피트 밴루엔, 로라 오닐은 '좋은 재료로 만든..."
2026-07-02,투썸플레이스,기타 이슈,"뉴욕 현지 맛 그대로…밴루엔, 강남역서 美 ‘스쿱숍’ 문화 전한다 [가...",economist.co.kr,https://economist.co.kr/article/view/ecn202607020055,“밴루엔은 단순한 아이스크림이 아니라 아이스크림이 주는 행복을 팝니다.” 김신영 투썸플레이스 총괄 부사장은 2일 서울 강남구 투썸플레이스 센트럴강남점에서 밴루엔 한국 1호점 개점을 앞두고 열린...
2026-07-02,투썸플레이스,기타 이슈,"폴 바셋도, 밴루엔도, 치폴레도 ""일단 강남부터""…글로벌 F&B 전략 거점...",mydaily.co.kr,https://www.mydaily.co.kr/page/view/2026070217291533022,이 매장에서 200m 안팎에는 지난해 문을 연 투썸플레이스의 프리미엄 매장 ‘투썸 2.0 강남’과 스타벅스 리저브 강남교보타워점이 자리했다. 팀홀튼의 한국 1호 플래그십 매장도 신논현역에서 도보 1분 거리다. 중국...
2026-07-02,투썸플레이스,기타 이슈,"""투썸, 올해 미국 동부에 1호점 낼 것""",mk.co.kr,https://www.mk.co.kr/article/12089011,"문영주 투썸플레이스 대표 美 아이스크림 '밴루엔' 론칭 디저트 포트폴리오 확대 나서 ""미국 동부에 '미국형 투썸'을 론칭하는 게 올해 남은 목표입니다."" 문영주 투썸플레이스 대표이사(사진)가 2일 매일경제와 만난..."
2026-07-02,투썸플레이스,기타 이슈,"""뉴욕 트럭서 팔던 맛 그대로""…강남 상륙 '밴루엔' 1호점 가보니[TF현장...",news.tf.co.kr,https://news.tf.co.kr/read/economy/2339132.htm,"투썸플레이스는 2일 서울 강남구 투썸플레이스 센트럴강남점에서 '밴루엔 국내 1호점 미디어 데이'를 개최했다. 투썸플레이스는 지난 2월 밴루엔과 마스터 프랜차이즈 계약(MFA)을 체결했으며, 오는 3일 서울 강남역..."
2026-07-02,투썸플레이스,혜택/프로모션/이벤트,"LG U+, 유플투쁠 여름 혜택 강화…장기고객 위한 '워터풀 파티' 연다",betanews.net,https://www.betanews.net/article/view/beta202607020088,"먼저 일상 및 외식·식음료 혜택으로 7일 공차(1만원 이상 구매 시 50% 할인), 14일 투썸플레이스(조각케이크 구매 시 아메리카노 1잔 무료), 15일 배달의민족·KFC(8500원 할인), 15일 반올림피자(전 메뉴 라지사이즈..."
2026-07-02,투썸플레이스,기타 이슈,"뉴욕 셀럽 사로잡은 '밴루엔' 아이스크림, 투썸 손잡고 국내 상륙",ajunews.com,https://www.ajunews.com/view/20260702165919099,투썸플레이스는 밴루엔을 앞세워 프리미엄 디저트 포트폴리오를 확대하고 글로벌 멀티브랜드 기업으로의 도약에 속도를 낸다는 계획이다. 투썸플레이스는 2일 서울 강남구 투썸플레이스 센트럴강남점에서 밴루엔...
2026-07-02,투썸플레이스,기타 이슈,"스벅·폴바셋·투썸, 특화메뉴로 '경험 소비' 수요 잡는다",kpinews.kr,https://www.kpinews.kr/newsView/1065598787619355,투썸플레이스는 지난해 9월부터 론칭한 프리미엄 매장 '투썸 2.0' 강남점과 안국점에서 특화메뉴를 판매하고 있다. '투썸 2.0'은 프리미엄 포지셔닝과 디저트 카페로서의 리더십을 공고히 하기 위해 주요 거점 지역을...
2026-07-02,투썸플레이스,기타 이슈,한화 '벤슨' 이어 투썸 '밴루엔' 상륙…프리미엄 아이스크림 경쟁 뜨겁...,edaily.co.kr,https://www.edaily.co.kr/news/newspath.asp?newsid=05254566645510584,지난해 한화갤러리아가 자체 브랜드 ‘벤슨’(Benson)을 앞세워 프리미엄 아이스크림 시장에 뛰어든 데 이어 투썸플레이스가 한국 사업권을 획득한 밴루엔도 합류하면서 시장 경쟁이 한층 뜨거워질 전망이다. 문영주...
2026-07-02,투썸플레이스,혜택/프로모션/이벤트,"LG유플러스, 7월 멤버십 '유플투쁠' 여름 맞이 시즈널 혜택 강화",newstnt.com,https://www.newstnt.com/news/articleView.html?idxno=708724,"주요 외식 및 식음료 혜택으로는 ▲7일 공차(50% 할인) ▲14일 투썸플레이스(조각케이크 구매 시 아메리카노 무료) ▲15일 배달의민족·KFC(8,500원 할인) ▲15일 반올림피자(라지사이즈 7천 원 할인) ▲21일 매드포갈릭..."
2026-07-02,투썸플레이스,기타 이슈,"[포토뉴스] ""뉴요커 감성 한 스쿱""...美 '밴루엔' 아이스크림 직접 먹어...",startuptoday.co.kr,https://www.startuptoday.co.kr/news/articleView.html?idxno=805436,"밴루엔을 국내에 도입한 투썸플레이스는 이날 뉴욕 프리미엄 아이스크림 브랜드 밴루엔의 국내 론칭을 공식 발표하며 향후 전략에 대해 입을 열었다. 문영주 투썸플레이스 대표는 ""원재료 맛을 살리는 밴루엔의 철학과..."
2026-07-02,투썸플레이스,기타 이슈,"뉴욕 홀린 프리미엄 아이스크림 ‘밴루엔’, 한국도 녹일까 [현장+]",kukinews.com,https://www.kukinews.com/article/view/kuk202607020140,"올해 2월 투썸플레이스와 마스터 프랜차이즈 계약(MFA)을 체결하며 국내 사업을 본격화했다. 밴루엔은 한국 디저트 시장에 대한 이해와 운영 경험, 브랜드 경쟁력을 높이 평가해 투썸플레이스를 파트너로 선택했다고..."
